z,qc,fs,u2
5.84,0.22,0.0043,0.176
5.85,0.22,0.0043,0.176
5.86,0.22,0.0043,0.176
5.87,0.22,0.0043,0.176
5.88,0.22,0.0043,0.177
5.89,0.22,0.0043,0.177
5.9,0.23,0.0043,0.177
5.91,0.22,0.0043,0.177
5.92,0.23,0.0044,0.178
5.93,0.23,0.0044,0.18
5.94,0.23,0.0044,0.178
5.95,0.22,0.0043,0.178
5.96,0.23,0.0043,0.181
5.97,0.22,0.0043,0.181
5.98,0.23,0.0044,0.182
5.99,0.23,0.0044,0.182
6,0.22,0.0043,0.181
6.01,0.22,0.0043,0.181
6.02,0.22,0.0043,0.181
6.03,0.22,0.0043,0.184
6.04,0.22,0.0043,0.184
6.05,0.22,0.0043,0.184
6.06,0.22,0.0044,0.181
6.07,0.22,0.0044,0.181
6.08,0.22,0.0044,0.182
6.09,0.22,0.0044,0.184
6.1,0.22,0.0044,0.185
6.11,0.22,0.0044,0.185
6.12,0.23,0.0044,0.185
6.13,0.23,0.0045,0.185
6.14,0.23,0.0045,0.186
6.15,0.22,0.0044,0.188
6.16,0.22,0.0044,0.188
6.17,0.23,0.0044,0.185
6.18,0.23,0.0043,0.184
6.19,0.22,0.0043,0.184
6.2,0.23,0.0044,0.184
6.21,0.23,0.0044,0.184
6.22,0.23,0.0045,0.185
6.23,0.23,0.0045,0.188
6.24,0.23,0.0045,0.186
6.25,0.23,0.0045,0.188
6.26,0.23,0.0046,0.188
6.27,0.23,0.0046,0.189
6.28,0.23,0.0045,0.189
6.29,0.24,0.0045,0.178
6.3,0.23,0.0044,0.184
6.31,0.23,0.0043,0.186
6.32,0.24,0.0043,0.188
6.33,0.24,0.0044,0.186
6.34,0.24,0.0044,0.19
6.35,0.24,0.0045,0.189
6.36,0.24,0.0045,0.189
6.37,0.24,0.0046,0.188
6.38,0.23,0.0046,0.188
6.39,0.24,0.0046,0.188
6.4,0.24,0.0046,0.188
6.41,0.24,0.0046,0.188
6.42,0.24,0.0047,0.189
6.43,0.24,0.0047,0.189
6.44,0.24,0.0048,0.189
6.45,0.24,0.0047,0.189
6.46,0.24,0.0047,0.189
6.47,0.24,0.0047,0.19
6.48,0.24,0.0047,0.19
6.49,0.24,0.0047,0.189
6.5,0.24,0.0047,0.189
6.51,0.24,0.0047,0.19
6.52,0.24,0.0048,0.189
6.53,0.24,0.0046,0.19
6.54,0.24,0.0046,0.188
